artist;title;Duracion;Milisegundos;Reproducciones;First stream;Last stream;Skips;Skip %;Meses
Taylor Swift;...Ready For It?;1:54:29;6869493;37;13/12/2022;27/11/2023;10;0.2127659574468085;{12: 29604, 1: 416372, 2: 208186, 3: 1457302, 4: 832744, 5: 624558, 6: 570483, 7: 26688, 8: 624558, 9: 416372, 10: 624558, 11: 1038068}
Taylor Swift;Dancing With Our Hands Tied;1:54:13;6853741;36;13/12/2022;29/11/2023;10;0.21739130434782608;{12: 1045, 1: 211506, 3: 211506, 4: 629433, 5: 211506, 6: 846024, 7: 423012, 8: 1047709, 9: 1152606, 10: 638852, 11: 1480542}
Taylor Swift;I Almost Do (Taylor's Version);1:54:11;6851639;30;10/12/2022;21/11/2023;8;0.21052631578947367;{12: 733758, 3: 733758, 4: 489172, 5: 244586, 6: 557662, 7: 978344, 8: 688252, 9: 733758, 10: 489172, 11: 1203177}
Taylor Swift;London Boy;1:54:00;6840637;37;03/12/2022;30/11/2023;4;0.0975609756097561;{12: 380480, 1: 190240, 2: 190240, 3: 1248358, 4: 1125965, 5: 190240, 6: 760960, 7: 471274, 8: 190240, 9: 380480, 10: 570720, 11: 1141440}
Harry Styles;As It Was;1:53:56;6836824;42;01/12/2022;23/11/2023;5;0.10638297872340426;{12: 1003820, 1: 312005, 2: 836515, 3: 334606, 4: 501909, 5: 334606, 6: 1171121, 7: 1338424, 10: 501909, 11: 501909}
Taylor Swift;Wonderland;1:53:53;6833748;27;08/12/2022;27/10/2023;7;0.20588235294117646;{12: 491120, 1: 245560, 3: 603770, 4: 982240, 5: 704043, 6: 736680, 7: 736680, 8: 951340, 9: 491120, 10: 891195}
Taylor Swift;High Infidelity;1:53:32;6812025;30;01/12/2022;28/11/2023;5;0.14285714285714285;{12: 925900, 1: 143918, 3: 462950, 4: 925900, 5: 694425, 6: 663675, 8: 694425, 9: 462950, 10: 462950, 11: 1374932}
Taylor Swift;I Did Something Bad;1:53:04;6784376;31;08/12/2022;20/11/2023;12;0.27906976744186046;{12: 476506, 1: 186646, 3: 1185066, 5: 476506, 6: 1191265, 7: 476506, 8: 238253, 9: 903541, 10: 940109, 11: 709978}
Taylor Swift;The Very First Night (Taylor's Version) (From The Vault);1:52:29;6749988;33;26/03/2023;27/11/2023;5;0.13157894736842105;{3: 200280, 4: 200280, 5: 200280, 6: 1625693, 7: 200280, 8: 796152, 9: 2125063, 10: 200280, 11: 1201680}
Taylor Swift;We Are Never Ever Getting Back Together (Taylor's Version);1:51:33;6693918;36;02/01/2023;30/11/2023;6;0.14285714285714285;{1: 193146, 3: 871378, 4: 579438, 5: 386292, 6: 965730, 7: 607598, 8: 579438, 9: 965730, 10: 579438, 11: 965730}
Taylor Swift;willow;1:50:54;6654957;34;07/12/2022;24/11/2023;14;0.2916666666666667;{12: 430932, 3: 214706, 4: 458296, 5: 214706, 6: 1073530, 7: 644118, 8: 1288236, 9: 1115650, 10: 621002, 11: 593781}
Taylor Swift;So It Goes...;1:50:24;6624996;32;03/12/2022;25/11/2023;10;0.23809523809523808;{12: 455812, 3: 483492, 4: 227906, 6: 1870949, 8: 455812, 9: 683718, 10: 1429933, 11: 1017374}
Taylor Swift;"Sweeter Than Fiction - From ""One Chance"" Soundtrack";1:49:59;6599995;30;21/03/2023;27/11/2023;7;0.1891891891891892;{3: 712920, 4: 1112162, 5: 237640, 6: 712920, 8: 1829986, 9: 475280, 10: 503690, 11: 1015397}
